Title,Year,Author,Publication,Cited,URL
Fluid Movement Monitoring Base on Time-Lapse Microgravity Anomali Data (Case Studies in Sumatra),2018,"Authors : D Pratiwi, M Sarkowi","Indonesian Petroleum Association, 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'Fluid Movement Monitoring Base on Time-Lapse Microgravity Anomali Data (Case Studies in Sumatra)'
GRAV3D Validation using Generalized Cross Validation (GCV) Algorithm by Lower Bounds Approach for 3D Gravity Data Inversion,2018,"Authors : A Adhi, W Wahyudi, W Suryanto, M Sarkowi","Scientific Journal of Informatics 5 (2), 271-277, 2018",1 cited,https://scholar.google.com/scholar?q=+intitle:'GRAV3D Validation using Generalized Cross Validation (GCV) Algorithm by Lower Bounds Approach for 3D Gravity Data Inversion'
"3D pre-stack simultaneous inversion and lame parameter extraction applied to discriminate the lithology and pore-fluid: Case study: Gumai Formation, Jambi Sub-Basin, South Sumatra",2018,"Authors : W Anggraeni, BS Mulyatno, M Sarkowi, MI Nursina, A Syafriya","SEG Technical Program Expanded Abstracts 2018, 655-658, 2018",3 cited,"https://scholar.google.com/scholar?q=+intitle:'3D pre-stack simultaneous inversion and lame parameter extraction applied to discriminate the lithology and pore-fluid: Case study: Gumai Formation, Jambi Sub-Basin, South Sumatra'"
"Lithology Discrimination and Pore-Fluid Detection Using 3D Pre-Stack Simultaneous Inversion: A Case Study at Gumai Formation, Jambi Sub-Basin, South Sumatra",2018,"Authors : W Anggraeni, MI Nursina, A Syafriya, BS Mulyatno, M Sarkowi","Indonesian Petroleum Association, 2018",1 cited,"https://scholar.google.com/scholar?q=+intitle:'Lithology Discrimination and Pore-Fluid Detection Using 3D Pre-Stack Simultaneous Inversion: A Case Study at Gumai Formation, Jambi Sub-Basin, South Sumatra'"
Similirity Modeling response Time Lapse Microgravity Vertical Gradient (TLMVG) anomaly due to fluid volume changes of sub surface and its implementation in Kota Lama Semarang,2018,Authors : M Sarkowi,"Sarkowi, 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'Similirity Modeling response Time Lapse Microgravity Vertical Gradient (TLMVG) anomaly due to fluid volume changes of sub surface and its implementation in Kota Lama Semarang'
"Similirity Lithology Discrimination and Pore-Fluid Detection Using 3D Pre-Stack Simultaneous Inversion: A Case Study at Gumai Formation, Jambi Sub-Basin, South Sumatra",2018,Authors : M Sarkowi,"sarkowi, 2018",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Similirity Lithology Discrimination and Pore-Fluid Detection Using 3D Pre-Stack Simultaneous Inversion: A Case Study at Gumai Formation, Jambi Sub-Basin, South Sumatra'"
"Similirity 3D prestack simultaneous inversion and lame-parameter extraction applied to discriminate the lithology and pore-fluid: Case study—Gumai Formation, Jambi Sub-Basin …",2018,Authors : M Sarkowi,"Sarkowi, 2018",0 cited,"https://scholar.google.com/scholar?q=+intitle:'Similirity 3D prestack simultaneous inversion and lame-parameter extraction applied to discriminate the lithology and pore-fluid: Case study—Gumai Formation, Jambi Sub-Basin …'"
The Effectiveness of Scaffolding Technique on Students' Writing Analytical Expository Text,2018,"Authors : DM Sari, U Suparman, T Sinaga","U-JET 7 (3), 2018",3 cited,https://scholar.google.com/scholar?q=+intitle:'The Effectiveness of Scaffolding Technique on Students' Writing Analytical Expository Text'
The Implementation of Jigsaw Cooperative Learning Technique in Reading Narrative Text,2018,"Authors : AN Purba, F Flora, T Sinaga","U-JET 7 (3), 2018",0 cited,https://scholar.google.com/scholar?q=+intitle:'The Implementation of Jigsaw Cooperative Learning Technique in Reading Narrative Text'
Pengembangan Lembar Kerja Siswa (LKPD) Sesikun melalui Model Problem Bas Learning (PBL) untuk Siswa Kelas X SMA,2018,"Authors : A Gustama, F Ariyani, T Sinaga","Jurnal Tiyuh Lampung 2 (1 JUNI), 2018",1 cited,https://scholar.google.com/scholar?q=+intitle:'Pengembangan Lembar Kerja Siswa (LKPD) Sesikun melalui Model Problem Bas Learning (PBL) untuk Siswa Kelas X SMA'
